Disaster_Number,Incident_Type,Application_Title,DCC,Damage_Category,Project_Size,County,State_Code,Project_Amount,Federal_Share_Obligated,Total_Obligated,declaration_date,obligated_date
1909,Severe Storm(s),NACB152 - Roads,C,Roads and Bridges,Small,Davidson,TN,9124.14,8211.73,8211.73,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACB214 - Roads,C,Roads and Bridges,Small,Davidson,TN,4608.3,4147.47,4147.47,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACB191 - Roads,C,Roads and Bridges,Small,Davidson,TN,2564.82,2308.34,2308.34,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACB1202 - Roads,C,Roads and Bridges,Small,Davidson,TN,2976.67,2679.0,2679.0,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NABFFO9 - Emergency Protective Measures: Metro Public,B,Protective Measures,Small,Davidson,TN,1503.94,1353.55,1353.55,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NAGAH02 - Asphalt Walkway,G,Recreational or Other,Small,Davidson,TN,25585.13,23026.62,23026.62,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACM160 - Roads,C,Roads and Bridges,Small,Davidson,TN,1924.25,1731.83,1731.83,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NACM172 - Roads,C,Roads and Bridges,Small,Davidson,TN,3378.17,3040.35,3040.35,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACB199 - Roads,C,Roads and Bridges,Small,Davidson,TN,8769.19,7892.27,7892.27,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NDFTM38 - Two (2) Pipe Endwalls,F,Public Utilities,Small,Davidson,TN,16381.63,14743.47,14743.47,2010-05-04 04:00:00+00:00,2011-01-23 00:01:37+00:00
